L = 12, j = 1.0, jz = 0.6, g = 0.3, gamma = 0.9, threshold = 0, steps = 600, start = x 
b_1 = 1.3453624047073711, length: 8
 b_2 = 2.209284777143801, length: 8
b_199 = 11.872567716475713, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:34:00.077
b_200 = 11.932823055118899, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:34:21.694
b_201 = 12.012277401446115, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:34:43.445
b_202 = 12.08685671851574, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:35:04.948
b_203 = 12.087275449110884, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:35:26.512
b_204 = 11.951296185120023, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:35:48.032
b_205 = 11.72540149496774, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:36:09.77
b_206 = 11.511723823567419, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:36:31.331
b_207 = 11.382218255718435, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:36:52.82
b_208 = 11.362989190902322, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:37:14.373
b_209 = 11.391342180448724, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:37:36.148
b_210 = 11.472956216716684, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:37:57.643
b_211 = 11.570386322836017, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:38:19.197
b_212 = 11.641080428797713, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:38:40.745
b_213 = 11.636363613656197, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:39:02.482
b_214 = 11.62873793789372, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:39:24.064
b_215 = 11.623657349940652, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:39:45.593
b_216 = 11.551512167942013, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:40:07.109
b_217 = 11.490991635806514, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:40:28.855
b_218 = 11.463823106416598, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:40:50.432
b_219 = 11.483032511581438, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:41:12.047
b_220 = 11.464206784588223, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:41:33.693
b_221 = 11.39802276080926, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:41:55.455
b_222 = 11.342901121408298, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:42:17.064
b_223 = 11.373399822370892, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:42:38.704
b_224 = 11.511800742891126, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:43:00.298
b_225 = 11.651058765781771, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:43:22.133
b_226 = 11.70932317111537, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:43:43.712
b_227 = 11.71497641077535, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:44:05.263
b_228 = 11.819866152252182, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:44:26.923
b_229 = 12.145375403339143, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:44:48.753
b_230 = 12.726657611316595, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:45:10.345
b_231 = 13.334520433810296, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:45:31.971
b_232 = 13.600543185682328, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:45:53.536
b_233 = 13.25615148101905, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:46:15.37
b_234 = 12.582360656521498, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:46:36.968
b_235 = 12.031928869866926, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:46:58.521
b_236 = 11.749160044080819, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:47:20.156
b_237 = 11.618856835780045, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:47:41.987
b_238 = 11.492621778181032, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:48:03.552
b_239 = 11.373243376171246, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:48:25.17
b_240 = 11.363212925425557, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:48:46.75
b_241 = 11.511380291630317, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:49:08.554
b_242 = 11.676560318728294, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:49:30.155
b_243 = 11.770839592073347, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:49:51.784
b_244 = 11.796314380436002, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:50:13.333
b_245 = 11.762748361018033, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:50:35.089
b_246 = 11.719253179540036, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:50:56.707
